api_name,version,scope,description
meet,v2,https://www.googleapis.com/auth/meetings.space.created,"Create, edit, and see information about your Google Meet conferences created by the app."
meet,v2,https://www.googleapis.com/auth/meetings.space.settings,"Edit, and see settings for all of your Google Meet calls."
memcache,v1beta2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
memcache,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
merchantapi,accounts_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,accounts_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,conversions_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,conversions_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,datasources_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,datasources_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,inventories_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,inventories_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,issueresolution_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,issueresolution_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,lfp_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,lfp_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,notifications_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,notifications_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,ordertracking_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,ordertracking_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,products_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,products_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,promotions_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,promotions_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,quota_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,quota_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,reports_v1,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,reports_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
merchantapi,reviews_v1beta,https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
metastore,v1alpha,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
metastore,v1beta,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
metastore,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
